model,rate,seed,channel,mse,mae
Latent ODE,0.8,0,water_level,0.2631549875376701,0.40783799708944063
Latent ODE,0.8,0,air_temp,2.48353660699019,1.1425068603697859
Latent ODE,0.8,0,water_temp,0.9900978498668576,0.803915976024572
Latent ODE,0.8,0,air_pressure,6.908846919636758,1.883116712547818
Latent ODE,0.8,0,wind_u,2.6673912407974605,1.2412667226309728
Latent ODE,0.8,0,wind_v,3.638200695667203,1.4988802322233565
LSTM,0.8,1,water_level,0.15692173822044622,0.2894825915277958
LSTM,0.8,1,air_temp,2.0717404382420543,1.0411905999325008
LSTM,0.8,1,water_temp,0.8291847931645728,0.6645654055020037
LSTM,0.8,1,air_pressure,4.0751118268456175,1.5016012454139676
LSTM,0.8,1,wind_u,2.356543627652255,1.1605072021484375
LSTM,0.8,1,wind_v,2.556526729956219,1.1910731511485295
Latent ODE,0.8,1,water_level,0.2633119677934912,0.40792679164021983
Latent ODE,0.8,1,air_temp,2.4619469474846176,1.1328647684303523
Latent ODE,0.8,1,water_temp,0.9828632171185687,0.7985308360825066
Latent ODE,0.8,1,air_pressure,7.326034653285949,1.9673359863385382
Latent ODE,0.8,1,wind_u,2.6146676548402317,1.2228539046213682
Latent ODE,0.8,1,wind_v,3.6409059774996053,1.5074542845138397
LSTM,0.8,2,water_level,0.14525988851159988,0.27848133321760477
LSTM,0.8,2,air_temp,2.126082171608731,1.042209669988937
LSTM,0.8,2,water_temp,0.7739932315426924,0.6392861882663878
LSTM,0.8,2,air_pressure,4.029796861488698,1.5217952520818339
LSTM,0.8,2,wind_u,2.3864893030237266,1.1611842788028397
LSTM,0.8,2,wind_v,2.73858721569331,1.217809057396269
Latent ODE,0.8,2,water_level,0.2631447903730333,0.4078261681535009
Latent ODE,0.8,2,air_temp,2.4639764461570213,1.13300839922631
Latent ODE,0.8,2,water_temp,0.9984323479577448,0.8128482777906767
Latent ODE,0.8,2,air_pressure,6.5890916143813145,1.9039749858170385
Latent ODE,0.8,2,wind_u,2.652485471783262,1.2344326250480884
Latent ODE,0.8,2,wind_v,3.6139746322374955,1.4982978197862002
LSTM,0.8,3,water_level,0.16537619038801185,0.29230496576079423
LSTM,0.8,3,air_temp,2.231786088868229,1.0658555098956874
LSTM,0.8,3,water_temp,0.7917365388311697,0.6547516420623095
LSTM,0.8,3,air_pressure,4.065590117933095,1.5418851254057035
LSTM,0.8,3,wind_u,2.4560514250989716,1.18054576835247
LSTM,0.8,3,wind_v,2.7225364466708917,1.2181321378508803
Latent ODE,0.8,3,water_level,0.26324428262686467,0.40820265900917985
Latent ODE,0.8,3,air_temp,2.5064156113923755,1.1396861679392802
Latent ODE,0.8,3,water_temp,1.0083171861923885,0.8172392144380716
Latent ODE,0.8,3,air_pressure,6.6206490225211265,1.873692696982799
Latent ODE,0.8,3,wind_u,2.5472441458140156,1.219298121905086
Latent ODE,0.8,3,wind_v,3.6081408491038314,1.4956966714826898
LSTM,0.8,4,water_level,0.1528913332016004,0.28660459767496677
LSTM,0.8,4,air_temp,2.184204775175069,1.0308966300054816
LSTM,0.8,4,water_temp,0.7764825137798859,0.6268058592474282
LSTM,0.8,4,air_pressure,3.7048819084924074,1.4782853471264195
LSTM,0.8,4,wind_u,2.2051425895305594,1.118448090473008
LSTM,0.8,4,wind_v,2.733963622789993,1.2338200129242458
Latent ODE,0.8,4,water_level,0.26310565156301935,0.4078039910076241
