model,rate,seed,channel,mse,mae,nmse,skill,mode
LSTM,0.5,3,air_pressure,4.131063357142685,1.5616755061879726,0.329221873830639,1.1810461367464402,irregular
LSTM,0.5,3,wind_u,2.154780602771449,1.1248014902396384,0.5809996388669983,0.7365588245783795,irregular
LSTM,0.5,3,wind_v,3.634870913095933,1.4592595582775414,0.8802760710108238,0.6496854057293129,irregular
Latent ODE,0.5,3,water_level,0.21397639735605706,0.3704644342675743,0.8352099436866917,0.38061913623628035,irregular
Latent ODE,0.5,3,air_temp,2.584906561137798,1.1351649042589027,0.30056491383322614,0.693927341929557,irregular
Latent ODE,0.5,3,water_temp,1.1044639089547041,0.7780892510122808,0.1531387845672601,1.119408804848487,irregular
Latent ODE,0.5,3,air_pressure,2.9258477382864228,1.27048031398915,0.2331731546252639,0.8364822490647015,irregular
Latent ODE,0.5,3,wind_u,2.144479378835479,1.1077789082060603,0.5782220904804067,0.7330376041885923,irregular
Latent ODE,0.5,3,wind_v,3.0943639364655735,1.3559389159355195,0.74937861436996,0.5530768870756131,irregular
Persistence,0.5,3,water_level,0.5621798196274215,0.5865985758571703,2.19434564416701,1.0,irregular
Persistence,0.5,3,air_temp,3.725039215128954,1.3286240086338146,0.4331360009499922,1.0,irregular
Persistence,0.5,3,water_temp,0.9866492957451719,0.6426157535336281,0.13680326964016296,1.0,irregular
Persistence,0.5,3,air_pressure,3.497800152433492,1.411351313487844,0.27875445639878493,1.0,irregular
Persistence,0.5,3,wind_u,2.9254698075267607,1.3006026699372983,0.7888027669746184,1.0,irregular
Persistence,0.5,3,wind_v,5.594816939154668,1.7128451721585212,1.354926651034524,1.0,irregular
LSTM,0.5,4,water_level,0.43859786676297047,0.5236496032026299,1.7119705917407537,0.780173623189901,irregular
LSTM,0.5,4,air_temp,2.543094712955264,1.1317009049487499,0.29570316187084206,0.6827028028662584,irregular
LSTM,0.5,4,water_temp,0.7760475686572628,0.6448877440899259,0.1076024127787271,0.7865485456726028,irregular
